votes_dem,votes_gop,total_votes,state_abbr,county_name,combined_fips
32258.0,26969.0,62971.0,IL,Rock Island County,17161
2551.0,8248.0,11234.0,IL,Saline County,17165
40731.0,49823.0,96472.0,IL,Sangamon County,17167
1074.0,2523.0,3792.0,IL,Schuyler County,17169
528.0,1965.0,2583.0,IL,Scott County,17171
2279.0,8209.0,10912.0,IL,Shelby County,17173
60180.0,53479.0,119201.0,IL,St. Clair County,17163
748.0,1777.0,2707.0,IL,Stark County,17175
7531.0,10845.0,19525.0,IL,Stephenson County,17177
20568.0,38620.0,63347.0,IL,Tazewell County,17179
2389.0,5780.0,8514.0,IL,Union County,17181
9876.0,18582.0,29799.0,IL,Vermilion County,17183
1146.0,4039.0,5402.0,IL,Wabash County,17185
2983.0,4267.0,7700.0,IL,Warren County,17187
1446.0,5566.0,7376.0,IL,Washington County,17189
1048.0,6963.0,8256.0,IL,Wayne County,17191
1412.0,5639.0,7289.0,IL,White County,17193
11005.0,12597.0,25210.0,IL,Whiteside County,17195
146230.0,129726.0,291010.0,IL,Will County,17197
8539.0,21503.0,31422.0,IL,Williamson County,17199
52595.0,53922.0,113027.0,IL,Winnebago County,17201
5068.0,13180.0,19389.0,IL,Woodford County,17203
2802.0,9642.0,13039.0,IN,Adams County,18001
55222.0,83801.0,145787.0,IN,Allen County,18003
9841.0,20637.0,32389.0,IN,Bartholomew County,18005
860.0,2579.0,3654.0,IN,Benton County,18007
1243.0,3349.0,4822.0,IN,Blackford County,18009
10181.0,19654.0,32061.0,IN,Boone County,18011
2518.0,5015.0,7908.0,IN,Brown County,18013
1891.0,6273.0,8609.0,IN,Carroll County,18015
3758.0,9697.0,14135.0,IN,Cass County,18017
18791.0,30012.0,51104.0,IN,Clark County,18019
2306.0,8528.0,11259.0,IN,Clay County,18021
2819.0,8530.0,11896.0,IN,Clinton County,18023
1323.0,3013.0,4591.0,IN,Crawford County,18025
1800.0,8545.0,10736.0,IN,Daviess County,18027
4883.0,18110.0,23910.0,IN,Dearborn County,18029
2121.0,8488.0,11095.0,IN,Decatur County,18031
3941.0,12054.0,16816.0,IN,DeKalb County,18033
18100.0,24217.0,44699.0,IN,Delaware County,18035
5389.0,13365.0,19917.0,IN,Dubois County,18037
20667.0,41810.0,65187.0,IN,Elkhart County,18039
